Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2019,MARKETING YEAR,,STATE,MAINE,23,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,1533000,
SURVEY,2019,MARKETING YEAR,,STATE,MAINE,23,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,525000,
SURVEY,2019,MARKETING YEAR,,STATE,MAINE,23,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,35,
SURVEY,2019,MARKETING YEAR,,STATE,MICHIGAN,26,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,11092000,
SURVEY,2019,MARKETING YEAR,,STATE,MICHIGAN,26,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,4700000,
SURVEY,2019,MARKETING YEAR,,STATE,MICHIGAN,26,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,50,
SURVEY,2019,MARKETING YEAR,,STATE,MINNESOTA,27,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,11348000,
SURVEY,2019,MARKETING YEAR,,STATE,MINNESOTA,27,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,6962000,
SURVEY,2019,MARKETING YEAR,,STATE,MINNESOTA,27,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,59,
SURVEY,2019,MARKETING YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,3256000,
SURVEY,2019,MARKETING YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,1760000,
SURVEY,2019,MARKETING YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,80,
SURVEY,2019,MARKETING YEAR,,STATE,MISSOURI,29,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,1428000,
SURVEY,2019,MARKETING YEAR,,STATE,MISSOURI,29,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,430000,
SURVEY,2019,MARKETING YEAR,,STATE,MISSOURI,29,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,43,
SURVEY,2019,MARKETING YEAR,,STATE,MONTANA,30,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,22019000,
SURVEY,2019,MARKETING YEAR,,STATE,MONTANA,30,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,14878000,
SURVEY,2019,MARKETING YEAR,,STATE,MONTANA,30,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,86,
SURVEY,2019,MARKETING YEAR,,STATE,NEBRASKA,31,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,2961000,
SURVEY,2019,MARKETING YEAR,,STATE,NEBRASKA,31,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,2028000,
SURVEY,2019,MARKETING YEAR,,STATE,NEBRASKA,31,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,52,
SURVEY,2019,MARKETING YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,1399000,
SURVEY,2019,MARKETING YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,420000,
SURVEY,2019,MARKETING YEAR,,STATE,NEW JERSEY,34,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,28,
SURVEY,2019,MARKETING YEAR,,STATE,NEW YORK,36,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,15365000,
SURVEY,2019,MARKETING YEAR,,STATE,NEW YORK,36,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,3422000,
SURVEY,2019,MARKETING YEAR,,STATE,NEW YORK,36,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,58,
SURVEY,2019,MARKETING YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,2387000,
SURVEY,2019,MARKETING YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,588000,
SURVEY,2019,MARKETING YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,42,
SURVEY,2019,MARKETING YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,47320000,
SURVEY,2019,MARKETING YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,33800000,
SURVEY,2019,MARKETING YEAR,,STATE,NORTH DAKOTA,38,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,65,
SURVEY,2019,MARKETING YEAR,,STATE,OHIO,39,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,3437000,
SURVEY,2019,MARKETING YEAR,,STATE,OHIO,39,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,1005000,
SURVEY,2019,MARKETING YEAR,,STATE,OHIO,39,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,67,
SURVEY,2019,MARKETING YEAR,,STATE,OREGON,41,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,5763000,
SURVEY,2019,MARKETING YEAR,,STATE,OREGON,41,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,2784000,
SURVEY,2019,MARKETING YEAR,,STATE,OREGON,41,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,32,
SURVEY,2019,MARKETING YEAR,,STATE,OTHER STATES,,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,8380000,
SURVEY,2019,MARKETING YEAR,,STATE,OTHER STATES,,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,1418000,
SURVEY,2019,MARKETING YEAR,,STATE,OTHER STATES,,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,47,
SURVEY,2019,MARKETING YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,4028000,
SURVEY,2019,MARKETING YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,950000,
SURVEY,2019,MARKETING YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,50,
SURVEY,2019,MARKETING YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,3768000,
SURVEY,2019,MARKETING YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,752000,
SURVEY,2019,MARKETING YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,47,
SURVEY,2019,MARKETING YEAR,,STATE,SOUTH DAKOTA,46,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,29743000,
SURVEY,2019,MARKETING YEAR,,STATE,SOUTH DAKOTA,46,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,19440000,
SURVEY,2019,MARKETING YEAR,,STATE,SOUTH DAKOTA,46,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,72,
SURVEY,2019,MARKETING YEAR,,STATE,TENNESSEE,47,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,2120000,
SURVEY,2019,MARKETING YEAR,,STATE,TENNESSEE,47,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,456000,
SURVEY,2019,MARKETING YEAR,,STATE,TENNESSEE,47,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,57,
SURVEY,2019,MARKETING YEAR,,STATE,TEXAS,48,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,17388000,
SURVEY,2019,MARKETING YEAR,,STATE,TEXAS,48,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,7560000,
SURVEY,2019,MARKETING YEAR,,STATE,TEXAS,48,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,60,
SURVEY,2019,MARKETING YEAR,,STATE,UTAH,49,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,1314000,
SURVEY,2019,MARKETING YEAR,,STATE,UTAH,49,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,638000,
SURVEY,2019,MARKETING YEAR,,STATE,UTAH,49,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,29,
SURVEY,2019,MARKETING YEAR,,STATE,VERMONT,50,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,1250000,
SURVEY,2019,MARKETING YEAR,,STATE,VERMONT,50,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,288000,
SURVEY,2019,MARKETING YEAR,,STATE,VERMONT,50,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,48,
SURVEY,2019,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,1464000,
SURVEY,2019,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,195000,
SURVEY,2019,MARKETING YEAR,,STATE,VIRGINIA,51,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,39,
SURVEY,2019,MARKETING YEAR,,STATE,WASHINGTON,53,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,6010000,
SURVEY,2019,MARKETING YEAR,,STATE,WASHINGTON,53,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,2835000,
SURVEY,2019,MARKETING YEAR,,STATE,WASHINGTON,53,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,35,
SURVEY,2019,MARKETING YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,999000,
SURVEY,2019,MARKETING YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,222000,
SURVEY,2019,MARKETING YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,37,
SURVEY,2019,MARKETING YEAR,,STATE,WISCONSIN,55,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,6464000,
SURVEY,2019,MARKETING YEAR,,STATE,WISCONSIN,55,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,2162000,
SURVEY,2019,MARKETING YEAR,,STATE,WISCONSIN,55,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,47,
SURVEY,2019,MARKETING YEAR,,STATE,WYOMING,56,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,2948000,
SURVEY,2019,MARKETING YEAR,,STATE,WYOMING,56,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,2184000,
SURVEY,2019,MARKETING YEAR,,STATE,WYOMING,56,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,56,
SURVEY,2018,MARKETING YEAR,,STATE,ALABAMA,1,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,1004000,
SURVEY,2018,MARKETING YEAR,,STATE,ALABAMA,1,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,270000,
SURVEY,2018,MARKETING YEAR,,STATE,ALABAMA,1,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,45,
SURVEY,2018,MARKETING YEAR,,STATE,ARIZONA,4,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,2745000,
SURVEY,2018,MARKETING YEAR,,STATE,ARIZONA,4,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,912000,
SURVEY,2018,MARKETING YEAR,,STATE,ARIZONA,4,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,38,
SURVEY,2018,MARKETING YEAR,,STATE,ARKANSAS,5,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,2632000,
SURVEY,2018,MARKETING YEAR,,STATE,ARKANSAS,5,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,1400000,
SURVEY,2018,MARKETING YEAR,,STATE,ARKANSAS,5,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,50,
SURVEY,2018,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,28981000,
SURVEY,2018,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,13735000,
SURVEY,2018,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,41,
SURVEY,2018,MARKETING YEAR,,STATE,COLORADO,8,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,3050000,
SURVEY,2018,MARKETING YEAR,,STATE,COLORADO,8,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,1488000,
SURVEY,2018,MARKETING YEAR,,STATE,COLORADO,8,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,48,
SURVEY,2018,MARKETING YEAR,,STATE,FLORIDA,12,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,25284000,
SURVEY,2018,MARKETING YEAR,,STATE,FLORIDA,12,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,10535000,
SURVEY,2018,MARKETING YEAR,,STATE,FLORIDA,12,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,49,
SURVEY,2018,MARKETING YEAR,,STATE,GEORGIA,13,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,9196000,
SURVEY,2018,MARKETING YEAR,,STATE,GEORGIA,13,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,3332000,
SURVEY,2018,MARKETING YEAR,,STATE,GEORGIA,13,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB / COLONY",TOTAL,NOT SPECIFIED,34,
SURVEY,2018,MARKETING YEAR,,STATE,HAWAII,15,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN $",TOTAL,NOT SPECIFIED,3362000,
SURVEY,2018,MARKETING YEAR,,STATE,HAWAII,15,,,,,,,0,,HONEY,"HONEY - PRODUCTION, MEASURED IN LB",TOTAL,NOT SPECIFIED,1751000,
